timestamp,model,persona_id,variable,question_short,run,answer,prompt_tokens,completion_tokens,total_tokens,error,raw_response
2026-04-27T04:53:52.793672+00:00,mistralai/mistral-nemo,53,gunlaw,Would you favor or oppose a law which would requir...,1,,0,0,0,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,
2026-04-27T04:53:52.824210+00:00,mistralai/mistral-nemo,53,abhlth,Please tell me whether or not you think it should ...,1,,0,0,0,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,
2026-04-27T04:53:52.826890+00:00,mistralai/mistral-nemo,53,cappun,Do you favor or oppose the death penalty for perso...,1,,0,0,0,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,
2026-04-27T04:53:52.837796+00:00,mistralai/mistral-nemo,53,abpoor,Please tell me whether or not you think it should ...,1,,0,0,0,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,
2026-04-27T04:53:52.853553+00:00,mistralai/mistral-nemo,53,homosex,What is your opinion about sexual relations betwee...,1,,0,0,0,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,
2026-04-27T04:53:52.929858+00:00,mistralai/mistral-nemo,53,abrape,Please tell me whether or not you think it should ...,1,,0,0,0,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,
2026-04-27T04:53:52.965522+00:00,mistralai/mistral-nemo,53,abdefect,Please tell me whether or not you think it should ...,1,,0,0,0,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,
2026-04-27T04:53:52.997921+00:00,mistralai/mistral-nemo,53,premarsx,If a man and woman have sexual relations before ma...,1,,0,0,0,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,
2026-04-27T04:53:56.645647+00:00,mistralai/mistral-nemo,53,xmarsex,What is your opinion about a married person having...,1,,0,0,0,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,
2026-04-27T04:53:56.680763+00:00,mistralai/mistral-nemo,53,fechld,To what extent do you you agree or disagree that: ...,1,,0,0,0,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,
2026-04-27T04:53:56.786311+00:00,mistralai/mistral-nemo,53,grass,Do you think the use of marijuana should be made l...,1,,0,0,0,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,
2026-04-27T04:53:56.787313+00:00,mistralai/mistral-nemo,53,fefam,Please read the following statement and indicate w...,1,,0,0,0,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,
2026-04-27T04:53:56.787322+00:00,mistralai/mistral-nemo,53,pornlaw,Which of these statements comes closest to your fe...,1,,0,0,0,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,
2026-04-27T04:53:56.787328+00:00,mistralai/mistral-nemo,53,affrmact,Some people say that because of past discriminatio...,1,,0,0,0,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,
2026-04-27T04:53:56.787332+00:00,mistralai/mistral-nemo,53,fepresch,Please read the following statement and indicate w...,1,,0,0,0,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,
2026-04-27T04:53:56.787337+00:00,mistralai/mistral-nemo,53,eqwlth,Some people think that the government in Washingto...,1,,0,0,0,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,
2026-04-27T04:54:00.081250+00:00,mistralai/mistral-nemo,53,immjobs,There are different opinions about immigrants from...,1,,0,0,0,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,
