file,total_rows,non_parseable,api_errors,total_na_answers,na_percent
arcee-ai_trinity-mini.csv,52000,52000,0,52000,100
nemo_temp_3.0.csv,15600,0,15600,15600,100
nemo_temp_5.0.csv,15600,0,15600,15600,100
minimax_minimax-m2.csv,52000,51922,0,51922,99.85
openai_gpt-oss-120b.csv,52000,43267,0,44847,86.24
nemo_temp_1.7.csv,15600,3692,0,3736,23.95
z-ai_glm-4.6.csv,52000,12380,0,12382,23.81
ai21_jamba-large-1.7.csv,52000,116,6678,6818,13.11
nemo_5.csv,52000,1659,0,2453,4.72
nemo_temp_1.3.csv,15600,419,0,434,2.78
meta-llama_llama-3.1-8b-instruct.csv,52000,805,0,806,1.55
Nemo_v3.csv,15600,200,0,209,1.34
Nemo_2.csv,15600,140,0,146,0.94
meta-llama_llama-4-maverick.csv,52000,476,0,478,0.92
mistralai_mistral-small-3.2-24b-instruct.csv,52000,264,118,382,0.73
deepseek_deepseek-chat-v3-0324.csv,52000,302,0,304,0.58
mistralai_mistral-nemo_OLD.csv,52000,272,0,277,0.53
cohere_command-r-plus-08-2024.csv,52000,146,0,146,0.28
meta-llama_llama-3.3-70b-instruct.csv,52000,115,0,115,0.22
nemo_temp_0.9.csv,15600,35,0,35,0.22
deepseek_deepseek-chat-v3.1.csv,52010,75,0,78,0.15
Dom Nemo v2.csv,10400,0,0,15,0.14
google_gemma-3-12b-it.csv,52000,66,0,66,0.13
deepcogito_cogito-v2-preview-llama-405b.csv,52000,8,0,51,0.1
google_gemini-2.5-flash.csv,52000,30,0,30,0.06
openai_gpt-5-mini.csv,52000,25,0,31,0.06
google_gemini-2.5-flash-lite.csv,52000,17,0,19,0.04
qwen_qwen-2.5-72b-instruct.csv,52000,21,0,21,0.04
openai_gpt-5.csv,52000,8,0,14,0.03
deepseek_deepseek-v3.2-20251201.csv,52000,9,0,11,0.02
mistralai_mistral-large-2512.csv,52000,0,0,12,0.02
moonshotai_kimi-k2.csv,52000,12,0,12,0.02
allenai_olmo-3-7b-instruct.csv,52000,0,0,0,0
anthropic_claude-3.7-sonnet.csv,52000,2,0,2,0
anthropic_claude-sonnet-4.5.csv,52000,2,0,2,0
dom nemo.csv,260,0,0,0,0
mistralai_mistral-medium-3.1.csv,52000,0,0,0,0
nemo_4.csv,52000,1,0,1,0
nemo_temp_0.5.csv,15600,0,0,0,0
openai_gpt-4o-mini.csv,52000,0,0,0,0
qwen_qwen3-235b-a22b-2507.csv,52000,1,0,1,0
random_guesser.csv,15600,0,0,0,0
x-ai_grok-4-fast.csv,52000,0,0,2,0
