timestamp,model,persona_id,variable,question_short,run,answer,prompt_tokens,completion_tokens,total_tokens,error,raw_response
2026-04-27T02:06:59.207756Z,nemo_temp_1.3_fallback_random,53,premarsx,If a man and woman have sexual relations before ma...,1,3,195,2,197,"",3
2026-04-27T02:06:59.208275Z,nemo_temp_1.3_fallback_random,53,abrape,Please tell me whether or not you think it should ...,1,1,177,2,179,"",1
2026-04-27T02:06:59.209563Z,nemo_temp_1.3_fallback_random,53,abpoor,Please tell me whether or not you think it should ...,1,1,182,2,184,"",1
2026-04-27T02:06:59.221949Z,nemo_temp_1.3_fallback_random,53,gunlaw,Would you favor or oppose a law which would requir...,1,1,174,2,176,"",1
2026-04-27T02:06:59.230176Z,nemo_temp_1.3_fallback_random,53,cappun,Do you favor or oppose the death penalty for perso...,1,2,162,2,164,"",2
2026-04-27T02:06:59.325886Z,nemo_temp_1.3_fallback_random,53,homosex,What is your opinion about sexual relations betwee...,1,4,199,2,201,"",4
2026-04-27T02:06:59.326095Z,nemo_temp_1.3_fallback_random,53,abhlth,Please tell me whether or not you think it should ...,1,1,182,1,183,"",1
2026-04-27T02:06:59.479233Z,nemo_temp_1.3_fallback_random,53,abdefect,Please tell me whether or not you think it should ...,1,1,180,2,182,"",1
2026-04-27T02:06:59.851653Z,nemo_temp_1.3_fallback_random,53,fepresch,Please read the following statement and indicate w...,1,4,195,2,197,"",4
2026-04-27T02:06:59.861647Z,nemo_temp_1.3_fallback_random,53,grass,Do you think the use of marijuana should be made l...,1,1,165,2,167,"",1
2026-04-27T02:06:59.861685Z,nemo_temp_1.3_fallback_random,53,affrmact,Some people say that because of past discriminatio...,1,1,221,2,223,"",1
2026-04-27T02:06:59.861699Z,nemo_temp_1.3_fallback_random,53,pornlaw,Which of these statements comes closest to your fe...,1,2,255,2,257,"",2
2026-04-27T02:06:59.863911Z,nemo_temp_1.3_fallback_random,53,fechld,To what extent do you you agree or disagree that: ...,1,2,196,2,198,"",2
2026-04-27T02:06:59.866806Z,nemo_temp_1.3_fallback_random,53,fefam,Please read the following statement and indicate w...,1,4,211,1,212,"",4
2026-04-27T02:06:59.940278Z,nemo_temp_1.3_fallback_random,53,eqwlth,Some people think that the government in Washingto...,1,3,315,2,317,"",3
2026-04-27T02:07:00.194759Z,nemo_temp_1.3_fallback_random,53,xmarsex,What is your opinion about a married person having...,1,3,200,2,202,"",3
2026-04-27T02:07:00.754091Z,nemo_temp_1.3_fallback_random,53,colrac,Consider a person who believes that Black people a...,1,2,182,1,183,"",2
2026-04-27T02:07:00.759248Z,nemo_temp_1.3_fallback_random,53,immcrime,There are different opinions about immigrants from...,1,2,229,2,231,"",2
2026-04-27T02:07:00.895732Z,nemo_temp_1.3_fallback_random,53,colath,There are always some people whose ideas are consi...,1,1,196,2,198,"",1
2026-04-27T02:07:00.895751Z,nemo_temp_1.3_fallback_random,53,spkmslm,Consider a Muslim clergyman who preaches hatred of...,1,1,193,2,195,"",1
2026-04-27T02:07:00.903798Z,nemo_temp_1.3_fallback_random,53,immjobs,There are different opinions about immigrants from...,1,3,225,1,226,"",3
2026-04-27T02:07:01.189245Z,nemo_temp_1.3_fallback_random,53,spkrac,Consider a person who believes that Black people a...,1,2,192,2,194,"",2
2026-04-27T02:07:01.194409Z,nemo_temp_1.3_fallback_random,53,immameco,There are different opinions about immigrants from...,1,2,220,2,222,"",2
2026-04-27T02:07:01.199900Z,nemo_temp_1.3_fallback_random,53,spkath,There are always some people whose ideas are consi...,1,1,212,2,214,"",1
2026-04-27T02:07:01.235187Z,nemo_temp_1.3_fallback_random,53,god,Tell me which statement comes closest to expressin...,1,2,350,2,352,"",2
2026-04-27T02:07:01.417529Z,nemo_temp_1.3_fallback_random,53,colmslm,Consider a Muslim clergyman who preaches hatred of...,1,2,183,2,185,"",2
2026-04-27T02:07:01.420153Z,nemo_temp_1.3_fallback_random,53,conpress,I am going to name some institutions in this count...,1,2,204,2,206,"",2
2026-04-27T02:07:01.422018Z,nemo_temp_1.3_fallback_random,53,bible,Which of these statements comes closest to describ...,1,2,293,2,295,"",2
2026-04-27T02:07:01.423719Z,nemo_temp_1.3_fallback_random,53,confed,I am going to name some institutions in this count...,1,2,208,2,210,"",2
2026-04-27T02:07:01.709876Z,nemo_temp_1.3_fallback_random,53,natspac,"We are faced with many problems in this country, n...",1,1,239,2,241,"",1
2026-04-27T02:07:01.952723Z,nemo_temp_1.3_fallback_random,53,nataid,"We are faced with many problems in this country, n...",1,2,248,7,255,"",IMPUTED_RANDOM
2026-04-27T02:07:01.952756Z,nemo_temp_1.3_fallback_random,53,consci,I am going to name some institutions in this count...,1,2,205,2,207,"",2
2026-04-27T02:07:01.955076Z,nemo_temp_1.3_fallback_random,53,natsci,"We are faced with many problems in this country, n...",1,2,249,2,251,"",2
2026-04-27T02:07:01.955104Z,nemo_temp_1.3_fallback_random,53,natenvir,"We are faced with many problems in this country, n...",1,2,241,2,243,"",2
2026-04-27T02:07:01.956947Z,nemo_temp_1.3_fallback_random,53,natheal,"We are faced with many problems in this country, n...",1,2,243,2,245,"",2
2026-04-27T02:07:02.002394Z,nemo_temp_1.3_fallback_random,53,natroad,"We are faced with many problems in this country, n...",1,3,241,1,242,"",3
2026-04-27T02:07:02.194230Z,nemo_temp_1.3_fallback_random,53,natsoc,"We are faced with many problems in this country, n...",1,2,237,2,239,"",2
2026-04-27T02:07:02.239521Z,nemo_temp_1.3_fallback_random,53,nateduc,"We are faced with many problems in this country, n...",1,1,242,2,244,"",1
2026-04-27T02:07:02.345025Z,nemo_temp_1.3_fallback_random,53,confinan,I am going to name some institutions in this count...,1,2,208,1,209,"",2
2026-04-27T02:07:02.574298Z,nemo_temp_1.3_fallback_random,53,conbus,I am going to name some institutions in this count...,1,2,204,2,206,"",2
2026-04-27T02:07:02.581756Z,nemo_temp_1.3_fallback_random,53,conmedic,I am going to name some institutions in this count...,1,1,203,2,205,"",1
2026-04-27T02:07:02.591129Z,nemo_temp_1.3_fallback_random,53,conarmy,I am going to name some institutions in this count...,1,1,203,2,205,"",1
2026-04-27T02:07:02.613075Z,nemo_temp_1.3_fallback_random,53,trust,"Generally speaking, would you say that most people...",1,1,181,2,183,"",1
2026-04-27T02:07:02.618052Z,nemo_temp_1.3_fallback_random,53,conlegis,I am going to name some institutions in this count...,1,2,203,2,205,"",2
2026-04-27T02:07:02.651344Z,nemo_temp_1.3_fallback_random,53,coneduc,I am going to name some institutions in this count...,1,2,203,2,205,"",2
2026-04-27T02:07:02.695684Z,nemo_temp_1.3_fallback_random,53,fair,Do you think most people would try to take advanta...,1,2,185,2,187,"",2
