timestamp,model,persona_id,variable,question_short,run,answer,prompt_tokens,completion_tokens,total_tokens,error,raw_response
2026-04-27T02:28:18.988371Z,nemo_temp_1.7_fallback_temp0.9,53,abhlth,Please tell me whether or not you think it should ...,1,1,182,1,183,"",1
2026-04-27T02:28:19.137311Z,nemo_temp_1.7_fallback_temp0.9,53,abpoor,Please tell me whether or not you think it should ...,1,1,182,2,184,"",1
2026-04-27T02:28:19.137746Z,nemo_temp_1.7_fallback_temp0.9,53,abdefect,Please tell me whether or not you think it should ...,1,1,180,2,182,"",1
2026-04-27T02:28:19.139095Z,nemo_temp_1.7_fallback_temp0.9,53,abrape,Please tell me whether or not you think it should ...,1,1,177,2,179,"",1
2026-04-27T02:28:19.321672Z,nemo_temp_1.7_fallback_temp0.9,53,premarsx,If a man and woman have sexual relations before ma...,1,3,197,50,247,"",IMPUTED_TEMP0.9
2026-04-27T02:28:19.661504Z,nemo_temp_1.7_fallback_temp0.9,53,grass,Do you think the use of marijuana should be made l...,1,1,165,2,167,"",1
2026-04-27T02:28:19.696300Z,nemo_temp_1.7_fallback_temp0.9,53,fechld,To what extent do you you agree or disagree that: ...,1,1,196,2,198,"",1
2026-04-27T02:28:20.428507Z,nemo_temp_1.7_fallback_temp0.9,53,gunlaw,Would you favor or oppose a law which would requir...,1,1,174,2,176,"",1
2026-04-27T02:28:20.430231Z,nemo_temp_1.7_fallback_temp0.9,53,homosex,What is your opinion about sexual relations betwee...,1,4,199,2,201,"",4
2026-04-27T02:28:20.574361Z,nemo_temp_1.7_fallback_temp0.9,53,xmarsex,What is your opinion about a married person having...,1,1,200,2,202,"",1
2026-04-27T02:28:20.705670Z,nemo_temp_1.7_fallback_temp0.9,53,cappun,Do you favor or oppose the death penalty for perso...,1,1,162,2,164,"",1
2026-04-27T02:28:20.813511Z,nemo_temp_1.7_fallback_temp0.9,53,pornlaw,Which of these statements comes closest to your fe...,1,2,255,2,257,"",2
2026-04-27T02:28:20.874377Z,nemo_temp_1.7_fallback_temp0.9,53,immjobs,There are different opinions about immigrants from...,1,4,223,2,225,"",4
2026-04-27T02:28:21.033925Z,nemo_temp_1.7_fallback_temp0.9,53,eqwlth,Some people think that the government in Washingto...,1,3,317,1,318,"",3
2026-04-27T02:28:21.124469Z,nemo_temp_1.7_fallback_temp0.9,53,fepresch,Please read the following statement and indicate w...,1,4,195,2,197,"",4
2026-04-27T02:28:21.233227Z,nemo_temp_1.7_fallback_temp0.9,53,immameco,There are different opinions about immigrants from...,1,2,222,1,223,"",2
2026-04-27T02:28:21.325674Z,nemo_temp_1.7_fallback_temp0.9,53,immcrime,There are different opinions about immigrants from...,1,4,218,2,220,"",4
2026-04-27T02:28:21.331154Z,nemo_temp_1.7_fallback_temp0.9,53,spkath,There are always some people whose ideas are consi...,1,1,212,2,214,"",1
2026-04-27T02:28:21.384839Z,nemo_temp_1.7_fallback_temp0.9,53,colath,There are always some people whose ideas are consi...,1,1,198,1,199,"",1
2026-04-27T02:28:21.486806Z,nemo_temp_1.7_fallback_temp0.9,53,spkmslm,Consider a Muslim clergyman who preaches hatred of...,1,1,195,1,196,"",1
2026-04-27T02:28:21.596307Z,nemo_temp_1.7_fallback_temp0.9,53,spkrac,Consider a person who believes that Black people a...,1,2,194,1,195,"",2
2026-04-27T02:28:21.910425Z,nemo_temp_1.7_fallback_temp0.9,53,affrmact,Some people say that because of past discriminatio...,1,2,221,50,271,"",IMPUTED_TEMP0.9
2026-04-27T02:28:22.280340Z,nemo_temp_1.7_fallback_temp0.9,53,confed,I am going to name some institutions in this count...,1,2,208,2,210,"",2
2026-04-27T02:28:22.280532Z,nemo_temp_1.7_fallback_temp0.9,53,conpress,I am going to name some institutions in this count...,1,3,204,2,206,"",3
2026-04-27T02:28:22.361408Z,nemo_temp_1.7_fallback_temp0.9,53,colmslm,Consider a Muslim clergyman who preaches hatred of...,1,2,183,2,185,"",2
2026-04-27T02:28:22.369750Z,nemo_temp_1.7_fallback_temp0.9,53,bible,Which of these statements comes closest to describ...,1,2,293,2,295,"",2
2026-04-27T02:28:22.469320Z,nemo_temp_1.7_fallback_temp0.9,53,consci,I am going to name some institutions in this count...,1,2,205,2,207,"",2
2026-04-27T02:28:22.812007Z,nemo_temp_1.7_fallback_temp0.9,53,natenvir,"We are faced with many problems in this country, n...",1,1,243,1,244,"",1
2026-04-27T02:28:22.812052Z,nemo_temp_1.7_fallback_temp0.9,53,natsci,"We are faced with many problems in this country, n...",1,1,238,2,240,"",1
2026-04-27T02:28:22.843245Z,nemo_temp_1.7_fallback_temp0.9,53,nataid,"We are faced with many problems in this country, n...",1,1,237,2,239,"",1
2026-04-27T02:28:22.871627Z,nemo_temp_1.7_fallback_temp0.9,53,natspac,"We are faced with many problems in this country, n...",1,2,239,2,241,"",2
2026-04-27T02:28:23.132722Z,nemo_temp_1.7_fallback_temp0.9,53,god,Tell me which statement comes closest to expressin...,1,3,352,50,402,"",IMPUTED_TEMP0.9
2026-04-27T02:28:23.328503Z,nemo_temp_1.7_fallback_temp0.9,53,nateduc,"We are faced with many problems in this country, n...",1,1,242,2,244,"",1
2026-04-27T02:28:23.362615Z,nemo_temp_1.7_fallback_temp0.9,53,natheal,"We are faced with many problems in this country, n...",1,1,245,1,246,"",1
2026-04-27T02:28:23.412449Z,nemo_temp_1.7_fallback_temp0.9,53,natroad,"We are faced with many problems in this country, n...",1,1,239,2,241,"",1
2026-04-27T02:28:23.433849Z,nemo_temp_1.7_fallback_temp0.9,53,natsoc,"We are faced with many problems in this country, n...",1,1,237,2,239,"",1
2026-04-27T02:28:23.611139Z,nemo_temp_1.7_fallback_temp0.9,53,colrac,Consider a person who believes that Black people a...,1,2,182,50,232,"",IMPUTED_TEMP0.9
2026-04-27T02:28:23.852436Z,nemo_temp_1.7_fallback_temp0.9,53,conmedic,I am going to name some institutions in this count...,1,1,205,1,206,"",1
2026-04-27T02:28:23.889491Z,nemo_temp_1.7_fallback_temp0.9,53,conarmy,I am going to name some institutions in this count...,1,1,203,2,205,"",1
2026-04-27T02:28:23.905052Z,nemo_temp_1.7_fallback_temp0.9,53,conbus,I am going to name some institutions in this count...,1,3,204,2,206,"",3
2026-04-27T02:28:24.629372Z,nemo_temp_1.7_fallback_temp0.9,53,fair,Do you think most people would try to take advanta...,1,1,185,2,187,"",1
2026-04-27T02:28:24.730766Z,nemo_temp_1.7_fallback_temp0.9,53,satfin,We are interested in how people are getting along ...,1,2,207,2,209,"",2
